Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Actinobacillus pleuropneumoniae,0,0,0,0,0,0,0,0,0,0,0,3,10,55,15,0,0,0,0,2,83,ID,,
Bordetella bronchiseptica,0,0,0,0,0,0,0,0,0,0,0,6,37,7,0,0,0,0,0,1,50,ID,,
Haemophilus parasuis,0,0,0,0,0,0,4,4,9,16,11,3,0,0,0,0,0,0,0,1,47,ID,,
Mannheimia haemolytica,0,0,0,0,0,0,0,0,5,3,30,211,79,12,7,1,0,0,0,8,348,16,,
Pasteurella multocida,0,0,0,0,0,0,0,0,4,60,149,87,4,1,8,0,0,0,0,8,313,8,,
Staphylococcus hyicus,0,0,0,0,0,0,0,0,0,0,3,57,8,2,5,0,0,0,0,3,75,-8,2.000 - 16.000,
Staphylococcus pseudintermedius,0,0,0,0,0,0,0,0,0,0,14,174,12,1,224,0,0,0,0,9,425,8,2.000 - 8.000,
Streptococcus dysgalactiae,0,0,0,0,0,0,0,0,0,7,27,1,0,1,4,0,0,0,0,1,40,ID,,
Streptococcus suis,0,0,0,0,0,0,0,0,2,6,15,21,3,0,17,0,0,0,0,2,64,ID,,
Streptococcus uberis,0,0,0,0,0,0,0,2,41,64,11,1,0,4,0,13,0,0,0,2,136,ID,,
