Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Escherichia coli,0,0,1,234,1503,2359,1023,268,88,47,46,20,9,14,16,9,86,5,0,7,5728,0.25,
Haemophilus influenzae,0,0,0,28,127,75,2,8,2,1,0,0,0,0,0,0,0,0,0,2,243,-,
Morganella morganii,0,3,7,47,15,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,80,-,
Neisseria gonorrhoeae,5,19,33,44,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,-,
Neisseria meningitidis,4,2,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,-,
Proteus mirabilis,0,1,3,24,73,69,12,8,3,0,0,0,0,0,0,0,0,0,0,2,193,-,
Proteus vulgaris,0,0,0,3,1,10,11,8,2,0,0,0,0,0,0,0,0,0,0,1,35,-,
Pseudomonas aeruginosa,0,0,0,0,0,0,0,1,9,135,262,154,77,38,16,6,6,0,0,4,704,-,
Salmonella enterica,0,0,0,0,1,11,16,6,0,0,0,2,0,1,0,0,0,0,0,1,37,-,
Streptococcus pneumoniae,0,0,2,155,62,216,259,15,24,2,4,7,9,6,2,0,4,0,0,4,767,-,
