Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Burkholderia cepacia complex,0,0,0,0,0,0,0,0,0,3,5,4,0,1,2,0,0,0,0,1,15,-,,
Enterobacter dissolvens,0,0,0,0,0,9,6,2,0,2,0,0,0,0,0,0,0,0,0,1,19,-,,
Enterococcus faecalis,0,0,0,0,0,0,0,0,2,6,120,91,5,9,10,15,0,0,0,2,258,-,,
Enterococcus faecium,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,0,0,0,1,18,-,,
Escherichia coli,0,0,0,24,116,433,51,3,24,1,0,0,0,0,1,1,0,0,0,2,654,-,,
Hafnia alvei,0,0,0,3,29,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,41,-,,
Klebsiella oxytoca,0,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,-,,
Klebsiella pneumoniae,0,0,0,0,6,14,16,6,5,4,0,0,0,0,0,0,0,0,0,1,51,-,,
Listeria monocytogenes,0,0,0,0,0,0,0,0,0,0,0,11,13,1,0,0,0,0,0,1,25,-,,
Proteus mirabilis,0,0,0,0,0,16,6,2,1,0,0,0,0,0,0,0,0,0,0,1,25,-,,
Pseudomonas aeruginosa,0,0,0,0,0,0,6,49,139,38,17,8,0,0,0,1,0,0,0,2,258,-,,
Serratia liquefaciens,0,0,0,5,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,35,-,,
Staphylococcus aureus,0,0,0,0,0,0,0,3,46,171,68,9,4,20,15,32,0,0,0,3,368,-4,,
Staphylococcus coagulase negative,0,0,0,0,0,0,0,2,10,22,5,1,0,1,0,0,0,0,0,1,41,-,,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,1,19,-,,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,0,0,0,5,13,8,4,3,0,0,0,1,33,-,,
Streptococcus pneumoniae,0,0,0,0,0,0,0,0,0,9,57,287,299,47,2,0,0,0,0,1,701,-,,
"Streptococcus, viridans group",0,0,0,0,0,0,0,0,0,0,1,4,5,14,3,1,2,0,0,1,30,-,,
